year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_101,competition_101,EG adult,8,EG,0.01,3,3,1,NA,NA,0,native,NA,NA,NA
2016,competition,competition_101,competition_101,EG adult,8,SP,0.023333333333333334,3,3,1,NA,NA,0,native,NA,NA,NA
2016,competition,competition_31,competition_31,SP adult,10,AB,0.087,3,3,1,17,72.6666666666667,1,non-native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,BD,0.05,1,1,1,17,72.6666666666667,1,non-native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,BH,0.001,1,1,1,17,72.6666666666667,1,non-native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,EG,0.001,3,3,1,17,72.6666666666667,0,native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,SP,0.001,1,1,1,17,72.6666666666667,0,native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,EG,0.033666666666666664,2,3,0.6666666666666666,17,72.6666666666667,0,native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_31,competition_31,SP adult,10,SP,0.020333333333333332,3,3,1,17,72.6666666666667,0,native,89.6666666666667,-0.09471943348983093,-0.4925934068134408
2016,competition,competition_104,competition_104,SP seed,10,AB,6.666666666666666e-4,2,3,0.6666666666666666,15,56,1,non-native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,BD,5e-4,1,2,0.5,15,56,1,non-native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,BH,3.333333333333333e-4,1,3,0.3333333333333333,15,56,1,non-native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,EG,6.666666666666666e-4,2,3,0.6666666666666666,15,56,0,native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,SP,3.333333333333333e-4,1,3,0.3333333333333333,15,56,0,native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,EG,0.033666666666666664,3,3,1,15,56,0,native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_104,competition_104,SP seed,10,SP,0.05,3,3,1,15,56,0,native,71,-0.12883768985218108,-0.5296865591439023
2016,competition,competition_106,competition_106,BD seed,10,AB,5e-4,1,2,0.5,2,174.1111111111111,1,non-native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_106,competition_106,BD seed,10,BD,0.0055000000000000005,2,2,1,2,174.1111111111111,1,non-native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_106,competition_106,BD seed,10,BH,0,0,2,0,2,174.1111111111111,1,non-native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_106,competition_106,BD seed,10,EG,3.333333333333333e-4,1,3,0.3333333333333333,2,174.1111111111111,0,native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_106,competition_106,BD seed,10,EG,3.333333333333333e-4,1,3,0.3333333333333333,2,174.1111111111111,0,native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_106,competition_106,BD seed,10,SP,0.01,3,3,1,2,174.1111111111111,0,native,176.1111111111111,-0.35060635620745706,-0.2668197529620326
2016,competition,competition_107,competition_107,EG seed,100,BD,0,0,1,0,378,142,1,non-native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_107,competition_107,EG seed,100,BH,5e-4,1,2,0.5,378,142,1,non-native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_107,competition_107,EG seed,100,EG,0.006666666666666666,2,3,0.6666666666666666,378,142,0,native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_107,competition_107,EG seed,100,SP,0,0,2,0,378,142,0,native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_107,competition_107,EG seed,100,EG,0.003666666666666667,2,3,0.6666666666666666,378,142,0,native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_107,competition_107,EG seed,100,SP,0.023333333333333334,3,3,1,378,142,0,native,520,6.063625839914371,-0.3382858931187215
2016,competition,competition_108,competition_108,AB seed,100,AB,6.666666666666666e-4,2,3,0.6666666666666666,13,110.4444444444444,1,non-native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,BD,0.001,1,1,1,13,110.4444444444444,1,non-native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,BH,6.666666666666666e-4,2,3,0.6666666666666666,13,110.4444444444444,1,non-native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,EG,0.004,3,3,1,13,110.4444444444444,0,native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,SP,3.333333333333333e-4,1,3,0.3333333333333333,13,110.4444444444444,0,native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,EG,0.004,3,3,1,13,110.4444444444444,0,native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_108,competition_108,AB seed,100,SP,0.033666666666666664,3,3,1,13,110.4444444444444,0,native,123.4444444444444,-0.16295594621453122,-0.40851559486439515
2016,competition,competition_32,competition_32,SP adult,10,AB,0.006999999999999999,3,3,1,25,42,1,non-native,67,0.04175359195956966,-0.5608448071014899
2016,competition,competition_32,competition_32,SP adult,10,BH,0.08333333333333334,1,3,0.3333333333333333,25,42,1,non-native,67,0.04175359195956966,-0.5608448071014899
2016,competition,competition_32,competition_32,SP adult,10,EG,0.003666666666666667,2,3,0.6666666666666666,25,42,0,native,67,0.04175359195956966,-0.5608448071014899
2016,competition,competition_32,competition_32,SP adult,10,SP,0.006666666666666666,2,3,0.6666666666666666,25,42,0,native,67,0.04175359195956966,-0.5608448071014899
2016,competition,competition_32,competition_32,SP adult,10,EG,6.666666666666666e-4,2,3,0.6666666666666666,25,42,0,native,67,0.04175359195956966,-0.5608448071014899
